Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2021T1,19 Melilla,2021,T1,24100.0,29800.0,11000.0,64900.0
2021T2,01 Andalucía,2021,T2,3037200.0,3153400.0,877600.0,7068200.0
2021T2,02 Aragón,2021,T2,469400.0,583200.0,71100.0,1123700.0
2021T2,"03 Asturias, Principado de",2021,T2,436000.0,389200.0,60300.0,885500.0
2021T2,"04 Balears, Illes",2021,T2,350600.0,546400.0,94500.0,991500.0
2021T2,05 Canarias,2021,T2,809700.0,800600.0,263600.0,1873900.0
2021T2,06 Cantabria,2021,T2,224100.0,242300.0,33500.0,499900.0
2021T2,07 Castilla y León,2021,T2,960000.0,963500.0,143100.0,2066600.0
2021T2,08 Castilla - La Mancha,2021,T2,708700.0,838400.0,167700.0,1714800.0
2021T2,09 Cataluña,2021,T2,2512500.0,3454300.0,490600.0,6457400.0
2021T2,10 Comunitat Valenciana,2021,T2,1793200.0,2063000.0,420700.0,4276900.0
2021T2,11 Extremadura,2021,T2,409200.0,398600.0,97200.0,905000.0
2021T2,12 Galicia,2021,T2,1112700.0,1079600.0,150900.0,2343200.0
2021T2,"13 Madrid, Comunidad de",2021,T2,2049699.9999999998,3135400.0,435800.0,5620900.0
2021T2,"14 Murcia, Región de",2021,T2,493300.0,644900.0,101700.0,1239900.0
2021T2,"15 Navarra, Comunidad Foral de",2021,T2,230400.0,285800.0,33000.0,549200.0
2021T2,16 País Vasco,2021,T2,828600.0,937000.0,106600.0,1872200.0
2021T2,"17 Rioja, La",2021,T2,105800.0,144800.0,18800.0,269400.0
2021T2,18 Ceuta,2021,T2,29000.0,24900.0,10000.0,63900.0
2021T2,19 Melilla,2021,T2,24900.0,30700.0,9600.0,65200.0
2021T3,01 Andalucía,2021,T3,3020600.0,3148700.0,919800.0,7089100.0
2021T3,02 Aragón,2021,T3,462700.0,602600.0,59200.0,1124500.0
2021T3,"03 Asturias, Principado de",2021,T3,435700.0,394200.0,54200.0,884100.0
2021T3,"04 Balears, Illes",2021,T3,329500.0,597600.0,66600.0,993700.0
2021T3,05 Canarias,2021,T3,759100.0,843300.0,273500.0,1875900.0
2021T3,06 Cantabria,2021,T3,215400.0,256100.00000000003,27600.0,499100.0
2021T3,07 Castilla y León,2021,T3,952300.0,999900.0,110200.0,2062400.0
2021T3,08 Castilla - La Mancha,2021,T3,695800.0,867700.0,155500.0,1719000.0
2021T3,09 Cataluña,2021,T3,2486300.0,3535000.0,439000.0,6460300.0
2021T3,10 Comunitat Valenciana,2021,T3,1785100.0,2100500.0,406400.0,4292000.0
2021T3,11 Extremadura,2021,T3,395900.0,413600.0,93900.0,903400.0
2021T3,12 Galicia,2021,T3,1102800.0,1115000.0,126000.0,2343800.0
2021T3,"13 Madrid, Comunidad de",2021,T3,2052400.0,3139800.0,433500.0,5625700.0
2021T3,"14 Murcia, Región de",2021,T3,480300.0,648500.0,116200.0,1245000.0
2021T3,"15 Navarra, Comunidad Foral de",2021,T3,227400.0,287100.0,35600.0,550100.0
2021T3,16 País Vasco,2021,T3,809800.0,957300.0,109100.0,1876200.0
2021T3,"17 Rioja, La",2021,T3,106200.0,142600.0,20100.0,268900.0
2021T3,18 Ceuta,2021,T3,28400.0,24500.0,11500.0,64400.0
2021T3,19 Melilla,2021,T3,26600.0,29200.0,9400.0,65200.0
2021T4,01 Andalucía,2021,T4,3012200.0,3260800.0,830900.0,7103900.0
2021T4,02 Aragón,2021,T4,465500.0,600300.0,60700.0,1126500.0
2021T4,"03 Asturias, Principado de",2021,T4,445200.0,396200.0,44500.0,885900.0
2021T4,"04 Balears, Illes",2021,T4,385500.0,520600.0,88800.0,994900.0
2021T4,05 Canarias,2021,T4,760900.0,904000.0,215200.0,1880100.0
2021T4,06 Cantabria,2021,T4,225400.0,243200.0,31800.0,500400.0
2021T4,07 Castilla y León,2021,T4,958600.0,989300.0,115500.0,2063400.0
2021T4,08 Castilla - La Mancha,2021,T4,716300.0,872400.0,134100.0,1722800.0
2021T4,09 Cataluña,2021,T4,2511100.0,3555700.0,404200.0,6471000.0
2021T4,10 Comunitat Valenciana,2021,T4,1796700.0,2135200.0,364100.0,4296000.0
2021T4,11 Extremadura,2021,T4,410700.0,397500.0,95300.0,903500.0
2021T4,12 Galicia,2021,T4,1118100.0,1093100.0,134300.0,2345500.0
2021T4,"13 Madrid, Comunidad de",2021,T4,2084800.0000000002,3191500.0,361600.0,5637900.0
2021T4,"14 Murcia, Región de",2021,T4,503100.0,650800.0,98900.0,1252800.0
2021T4,"15 Navarra, Comunidad Foral de",2021,T4,229600.0,291100.0,32200.000000000004,552900.0
2021T4,16 País Vasco,2021,T4,807300.0,975100.0,97700.0,1880100.0
2021T4,"17 Rioja, La",2021,T4,108700.0,143600.0,16900.0,269200.0
2021T4,18 Ceuta,2021,T4,26900.0,24200.0,13400.0,64500.0
2021T4,19 Melilla,2021,T4,26300.0,30100.0,8400.0,64800.0
2022T1,01 Andalucía,2022,T1,3101600.0,3229600.0,784800.0,7116000.0
2022T1,02 Aragón,2022,T1,462200.0,595200.0,67900.0,1125300.0
2022T1,"03 Asturias, Principado de",2022,T1,446600.0,389100.0,51500.0,887200.0
2022T1,"04 Balears, Illes",2022,T1,367900.0,516900.0,110400.0,995200.0
2022T1,05 Canarias,2022,T1,768300.0,892700.0,226900.0,1887900.0
2022T1,06 Cantabria,2022,T1,229400.0,243600.0,29600.0,502600.0
2022T1,07 Castilla y León,2022,T1,951100.0,986900.0,124900.0,2062900.0
2022T1,08 Castilla - La Mancha,2022,T1,720500.0,861400.0,145200.0,1727100.0
2022T1,09 Cataluña,2022,T1,2559600.0,3521800.0,414600.0,6496000.0
2022T1,10 Comunitat Valenciana,2022,T1,1803000.0,2182700.0,325700.0,4311400.0
2022T1,11 Extremadura,2022,T1,413700.0,396400.0,94000.0,904100.0
2022T1,12 Galicia,2022,T1,1111000.0,1092300.0,141200.0,2344500.0
2022T1,"13 Madrid, Comunidad de",2022,T1,2061100.0,3186100.0,423100.0,5670300.0
2022T1,"14 Murcia, Región de",2022,T1,510400.0,643300.0,101600.0,1255300.0
2022T1,"15 Navarra, Comunidad Foral de",2022,T1,228700.0,290200.0,35300.0,554200.0
2022T1,16 País Vasco,2022,T1,811700.0,970600.0,96900.0,1879200.0
2022T1,"17 Rioja, La",2022,T1,108100.0,142700.0,18200.0,269000.0
