Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;27,14
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;28,40
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;29,66
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;28,04
25 - 64 años;Cantabria;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;28,20
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2023;23,62
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2022;24,10
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2021;24,64
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2020;24,75
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2019;26,43
25 - 64 años;Cantabria;Mujeres;2ª etapa E. Secundaria;2018;27,43
25 - 64 años;Cantabria;Mujeres;E. Superior;2023;53,28
25 - 64 años;Cantabria;Mujeres;E. Superior;2022;48,76
25 - 64 años;Cantabria;Mujeres;E. Superior;2021;46,96
25 - 64 años;Cantabria;Mujeres;E. Superior;2020;45,59
25 - 64 años;Cantabria;Mujeres;E. Superior;2019;45,52
25 - 64 años;Cantabria;Mujeres;E. Superior;2018;44,37
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;39,61
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;39,97
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;41,60
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;40,95
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;42,39
25 - 64 años;Castilla y Leon;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;43,84
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2023;24,54
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2022;25,19
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2021;24,68
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2020;24,16
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2019;23,46
25 - 64 años;Castilla y Leon;Hombres;2ª etapa E. Secundaria;2018;24,25
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2023;35,85
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2022;34,85
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2021;33,72
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2020;34,89
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2019;34,15
25 - 64 años;Castilla y Leon;Hombres;E. Superior;2018;31,91
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;30,28
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;30,94
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;31,18
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;33,72
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;34,65
25 - 64 años;Castilla y Leon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;35,43
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2023;23,80
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2022;24,14
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2021;23,69
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2020;23,16
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2019;22,50
