Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2010T3;15.313,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2010T2;15.396,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2010T1;15.447,8
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2009T4;15.381
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2009T3;15.318,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2009T2;15.257,7
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2009T1;15.208,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2008T4;15.250,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2008T3;15.280
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2008T2;15.379,2
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2008T1;15.400,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2007T4;15.374,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2007T3;15.342,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2007T2;15.382,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2007T1;15.338,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2006T4;15.305,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2006T3;15.344,9
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2006T2;15.382,3
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2006T1;15.337,6
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2005T4;15.496,4
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2005T3;15.318,1
Total Nacional;Total (trimestre actual);Inactivos (trimestre anterior);2005T2;15.416
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2024T2;169,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2024T1;171,2
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2023T4;180
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2023T3;151,2
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2023T2;149
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2023T1;146,6
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2022T4;182,6
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2022T3;181,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2022T2;153,4
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2022T1;157,4
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2021T4;160,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2021T3;148,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2021T2;132,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2021T1;134,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2020T4;151,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2020T3;131,9
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2020T2;113,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2020T1;128,4
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2019T4;143,8
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2019T3;152,7
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2019T2;132,9
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2019T1;131,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2018T4;137
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2018T3;125,7
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2018T2;123,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2018T1;125,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2017T4;138
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2017T3;121,1
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2017T2;125,5
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2017T1;134,3
Total Nacional;Total (trimestre actual);No consta (trimestre anterior);2016T4;120,8
