rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2020;23,64
55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2019;21,30
55 - 64 años;Pais Vasco;AMBOS SEXOS;2ª etapa E. Secundaria;2018;22,15

55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2023;42,22
55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2022;42,35
55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2021;43,61
55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2020;39,40
55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2019;36,00
55 - 64 años;Pais Vasco;AMBOS SEXOS;E. Superior;2018;34,41


55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;46,54
